name of item,price,number of downloads,item URL
"Save the Date Template, Download Custom Modern Simple Save the Date, Card Canva Printable Save our date invitation TS03",12.95,310,https://www.etsy.com/listing/1523380466/save-the-date-template-download-custom?click_key=2d23d0716868aa0b47f52a26150558799b6c8aba%3A1523380466&click_sum=79514b49&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725774-1-9&pro=1&dd=1
"Drag and Drop Greeting Card Template Set | 4x6, 5x7, and 4.75x4.75 Foldable Cards | Use on Canva and PNG | Instant Download",16.56,91,https://www.etsy.com/listing/1373032932/drag-and-drop-greeting-card-template-set?click_key=a06a62c5b372ee5d69743851697bd2603e3a355c%3A1373032932&click_sum=dd6c45e4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725774-1-10&dd=1
Building Blocks Birthday Invitation | Building Bricks Kids Birthday Party Invite | Printable Editable Canva Template | Editable Invitation,17.31,4000,https://www.etsy.com/listing/1417181221/building-blocks-birthday-invitation?click_key=d0998ce880ebfd09c47e9bc9fbc8ad2f2355bfd8%3A1417181221&click_sum=6f1dff2a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725774-1-11&bes=1&sts=1&dd=1
PLR Digital Planner | Hyperlinked 2024 Digital Planner Template | Canva Template Commercial License | Listing Mockup | plr digital product,69.91,1000,https://www.etsy.com/listing/1605372401/plr-digital-planner-hyperlinked-2024?click_key=fde6dc7d507ad651d071c76433a94f0a3a0325f2%3A1605372401&click_sum=e0d0742f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725774-1-12&pro=1&dd=1
Editable Card Canva Template | Greeting Card Template | Customizable Card | Blank Card Template | Commercial License Canva Template,27.21,106,https://www.etsy.com/listing/1223049433/editable-card-canva-template-greeting?click_key=612f346fbfd39da82b946d8b6392e066414b7347%3A1223049433&click_sum=e40b0ac8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-17&dd=1
"Editable Blank Card Templates for CANVA, 5""x7"" & 4""x6"", Foldable Card Templates, Digital Download Card Templates, Portrait Landscape",8.38,41,https://www.etsy.com/listing/1405398829/editable-blank-card-templates-for-canva?click_key=769a93bfbd8b3c899aad216db743a4fc7cde18fe%3A1405398829&click_sum=5481ff06&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-18&dd=1
"PRINTABLE EDITABLE Happy Birthday Card, Instant/Digital Download Greeting Card, PDF Card Template",7.91,688,https://www.etsy.com/listing/1183137412/printable-editable-happy-birthday-card?click_key=01c8487f25b233eeec75cec46beca37f97426d6d%3A1183137412&click_sum=68d25313&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-19&pro=1&dd=1
"Drag & Drop Greeting Card Templates | 4x6, 5x7, 4.75x4.75 Foldable Cards | Editable Canva Template | Blank Foldable Cards | Instant Download",34.01,117,https://www.etsy.com/listing/1458972662/drag-drop-greeting-card-templates-4x6?click_key=f0255c3a94fe5986fa77baf5b5898e0ee98b1445%3A1458972662&click_sum=878157a0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-20&pro=1&sts=1&dd=1
"Open Heart 10 Instant Downloads in Black & White 2-SVG, 2-PNG, 2-EPS, 2-dxf, 2-jpg digital download",2.25,6800,https://www.etsy.com/listing/672541133/open-heart-10-instant-downloads-in-black?click_key=096b51b41bcfdcc1323fbf169cbf3c5d9fcc03b7%3A672541133&click_sum=71380383&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-21&pop=1&dd=1
"Editable Encanto Birthday Invitation Template, Encanto Invite, Encanto Party, Girls Birthday Invitation, Encanto Kids Party, Editable canva",9.1,222,https://www.etsy.com/listing/1582338331/editable-encanto-birthday-invitation?click_key=e6c6ad51543314ee8bec5c9a9ad80fb02a635893%3A1582338331&click_sum=7a6090db&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-22&pro=1&bes=1&dd=1
Greeting Card template - vertical and horizontal greeting card template || canva // almost free,7.77,287,https://www.etsy.com/listing/1506606822/greeting-card-template-vertical-and?click_key=21cf21d3584d1456375ad0220a2583fdd7908613%3A1506606822&click_sum=d15f0284&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-23&dd=1
"Greeting Card Template Bundle, Sizes 4x6/ 6x4 & 5x7/ 7x5, Foldable Cards, Open in Canva, Drag and Drop Your Design, Instant Download",8.5,26,https://www.etsy.com/listing/1383602180/greeting-card-template-bundle-sizes-4x6?click_key=a45f4bb0c5637488630b31acd7f56c3cd31be80a%3A1383602180&click_sum=2f5b7ea0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-24&pro=1&dd=1
"Mario invitation, Printable birthday invite, editable invitation, girl birthday, mario bros party, video game invitation, super template",17.01,146,https://www.etsy.com/listing/1574366762/mario-invitation-printable-birthday?click_key=2820b7ab86262d267bf86988407c3456930c9f1a%3A1574366762&click_sum=e2f17bc6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725774-1-13&pro=1&sts=1&dd=1
